"name","pos","gp","min","wp48","pop48","wins","pts","reb","ast","to","blk","stl","pf","year","team"
"Anthony Roberson","PG (1.0)","20","227","-.056","-4.8","-0.26","23.5","4.4","2.1","2.8","0.0","2.5","5.7",2006,"gsw"
"Baron Davis","PG (1.0)","63","2160",".171","2.2","7.68","28.1","6.1","11.3","4.3","0.6","3.0","4.0",2006,"gsw"
"Dajuan Wagner","G (1.5)","1","7",".222","3.8","0.03","28.3","0.0","7.1","7.1","0.0","0.0","7.1",2006,"gsw"
"Ike Diogu","FC (4.5)","17","222",".086","-0.4","0.40","26.6","13.6","1.1","3.9","2.4","0.6","7.6",2006,"gsw"
"Jason Richardson","GF (2.6)","51","1612",".084","-0.5","2.82","24.2","7.7","5.1","2.4","1.0","1.6","3.8",2006,"gsw"
"Josh Powell","FC (4.3)","30","274",".018","-2.5","0.10","18.2","12.1","3.1","4.2","2.1","0.9","7.5",2006,"gsw"
"Keith McLeod","PG (1.0)","26","379",".063","-1.1","0.50","17.5","2.7","5.7","2.9","0.4","2.2","2.7",2006,"gsw"
"Kelenna Azubuike","GF (2.5)","41","659",".098","-0.0","1.34","21.2","6.8","2.0","2.8","0.7","1.6","3.6",2006,"gsw"
"Matt Barnes","GF (3.3)","76","1786",".122","0.7","4.54","20.0","9.4","4.2","2.8","1.1","2.0","5.1",2006,"gsw"
"Mickael Pietrus","GF (2.5)","72","1905",".105","0.2","4.18","20.2","8.2","1.6","2.6","1.4","1.2","5.5",2006,"gsw"
"Mike Dunleavy","SF (4.0)","39","1051",".026","-2.3","0.58","20.4","8.5","5.3","3.2","0.5","1.7","3.8",2006,"gsw"
"Mike Dunleavy","GF (2.5)","39","1051",".122","0.7","2.66","20.4","8.5","5.3","3.2","0.5","1.7","3.8",2006,"gsw"
"Monta Ellis","G (1.6)","77","2567",".060","-1.2","3.22","23.8","4.5","6.0","4.1","0.4","2.5","3.9",2006,"gsw"
"Patrick O'Bryant","C (5.0)","16","119","-.157","-8.0","-0.39","12.5","8.5","3.6","3.2","3.2","2.4","10.5",2006,"gsw"
"Renaldo Major","F (4.0)","1","27","-.519","-19.2","-0.30","8.8","3.5","0.0","1.8","0.0","3.5","7.0",2006,"gsw"
"Sarunas Jasikevicius","PG (1.0)","26","296","0","-3.1","0.00","18.3","3.4","9.9","5.0","0.2","2.1","3.6",2006,"gsw"
"Stephen Jackson","GF (4.0)","38","1234","-.021","-3.7","-0.53","24.9","4.9","6.7","4.0","0.5","2.0","4.4",2006,"gsw"
"Troy Murphy","FC (4.5)","26","667",".125","0.8","1.74","16.6","11.3","4.3","2.1","1.2","1.5","4.5",2006,"gsw"
"Al Harrington","FC (4.7)","81","2190",".021","-2.4","0.97","24.2","9.6","2.9","2.0","0.4","1.6","5.8",2007,"gsw"
"Andris Biedrins","C (5.0)","76","2078",".303","6.3","13.10","18.4","17.2","1.7","2.0","2.2","1.3","6.1",2007,"gsw"
"Austin Croshere","PF (4.0)","44","457",".071","-0.9","0.68","18.2","10.9","3.2","2.3","0.6","0.8","6.3",2007,"gsw"
"Baron Davis","PG (1.0)","82","3196",".166","2.1","11.08","26.9","5.8","9.4","3.5","0.6","2.9","3.7",2007,"gsw"
